Fake Student Identifier,Gender,Age at Semester Start,Domestic / international status,Mode of Study,Semester,Fake UoS Identifier,UoS Mark,UoS changes before Week 1,UoS changes before Week 2,UoS changes before census date,Canvas access Week 1,Canvas access Week 2,Canvas access Week 3,Canvas access Week 4,Canvas access Week 5,Canvas access Week 6,Canvas access Week 7,Canvas access Week 8,Canvas access Week 9,Canvas access Week 10,Canvas access Week 11,Canvas access Week 12,Canvas access Week 13,Canvas access Mid-semester break,Canvas access STUVAC
3556,F,18 and under,Domestic,Full Time,1,UNIT H,73,8,10,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2925,F,22-25,Domestic,Full Time,1,UNIT O,71,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
374,M,19-21,International,Full Time,2,UNIT D,66,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
342,M,19-21,International,Full Time,2,UNIT G,80,8,10,10,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
2586,F,22-25,International,Full Time,1,UNIT L,89,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2249,F,18 and under,Domestic,Full Time,1,UNIT A,30,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4090,F,18 and under,Domestic,Full Time,2,UNIT D,62,4,4,4,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
321,M,19-21,Domestic,Full Time,2,UNIT D,72,18,18,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
714,M,19-21,International,Full Time,1,UNIT C,69,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3262,F,19-21,Domestic,Full Time,2,UNIT G,62,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
483,F,18 and under,Domestic,Full Time,1,UNIT O,64,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3653,F,19-21,International,Full Time,1,UNIT I,84,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1145,F,19-21,Domestic,Full Time,2,UNIT F,58,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2951,M,22-25,International,Full Time,1,UNIT A,45,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4091,M,19-21,Domestic,Full Time,1,UNIT A,55,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
2419,M,18 and under,Domestic,Full Time,1,UNIT A,75,14,28,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
103,M,19-21,International,Full Time,2,UNIT J,50,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3608,F,19-21,International,Full Time,2,UNIT J,83,4,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3536,F,19-21,International,Full Time,2,UNIT J,47,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1845,M,19-21,International,Full Time,1,UNIT C,48,10,16,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
